id,distance,order,condition,time,rt
1,1,in,numbers,1,927.136357
2,1,in,numbers,1,1113.74913
3,1,in,numbers,1,1100.96784
4,1,in,numbers,1,1227.390036
5,1,in,numbers,1,1042.632432
6,1,in,numbers,1,683.92585
7,1,in,numbers,1,1325.972682
8,1,in,numbers,1,1000.762443
9,1,in,numbers,1,925.9950335
10,1,in,numbers,1,1250.35658
11,1,in,numbers,1,792.3542815
12,1,in,numbers,1,967.503334
13,1,in,numbers,1,1117.5754
14,1,in,numbers,1,758.949485
15,1,in,numbers,1,809.0048055
16,1,in,numbers,1,733.94069
17,1,in,numbers,1,1092.55313
18,1,in,numbers,1,1090.940088
19,1,in,numbers,1,1289.653174
20,1,in,numbers,1,961.399199
21,1,in,numbers,1,1100.92049
22,1,in,numbers,1,1142.68173
23,1,in,numbers,1,790.841714
24,1,in,numbers,1,1005.829628
25,1,in,numbers,1,1084.21328
26,1,in,numbers,1,1009.02543
27,1,in,numbers,1,708.97951
28,1,in,numbers,1,901.7293765
29,1,in,numbers,1,792.384415
30,1,in,numbers,1,1384.427124
31,1,in,numbers,1,1118.857894
32,1,in,numbers,1,725.617914
1,1,mixed,numbers,1,1096.24155
2,1,mixed,numbers,1,1647.41495
3,1,mixed,numbers,1,1434.45026
4,1,mixed,numbers,1,1359.780515
5,1,mixed,numbers,1,1151.106941
6,1,mixed,numbers,1,800.67775
7,1,mixed,numbers,1,1434.265631
8,1,mixed,numbers,1,1167.489529
9,1,mixed,numbers,1,975.739167
10,1,mixed,numbers,1,1753.49127
11,1,mixed,numbers,1,917.358461
12,1,mixed,numbers,1,1350.987037
13,1,mixed,numbers,1,1092.55104
14,1,mixed,numbers,1,1017.51278
15,1,mixed,numbers,1,867.094554
16,1,mixed,numbers,1,850.70668
17,1,mixed,numbers,1,1284.26847
18,1,mixed,numbers,1,1550.656677
19,1,mixed,numbers,1,1677.813889
20,1,mixed,numbers,1,1169.022481
21,1,mixed,numbers,1,1309.604393
22,1,mixed,numbers,1,1826.30813
23,1,mixed,numbers,1,956.9778675
24,1,mixed,numbers,1,1097.662166
25,1,mixed,numbers,1,1476.15946
26,1,mixed,numbers,1,1350.884401
27,1,mixed,numbers,1,783.99021
28,1,mixed,numbers,1,832.091926
29,1,mixed,numbers,1,1100.883248
30,1,mixed,numbers,1,1559.393836
31,1,mixed,numbers,1,1339.319301
32,1,mixed,numbers,1,825.6622105
1,2,in,numbers,1,977.413133
2,2,in,numbers,1,1256.73594
3,2,in,numbers,1,1050.90106
4,2,in,numbers,1,986.2096
5,2,in,numbers,1,1184.268497
6,2,in,numbers,1,633.90757
7,2,in,numbers,1,1309.29402
8,2,in,numbers,1,976.0366965
9,2,in,numbers,1,900.6458145
10,2,in,numbers,1,1259.10158
11,2,in,numbers,1,817.25871
12,2,in,numbers,1,1017.457051
13,2,in,numbers,1,1117.55372
14,2,in,numbers,1,909.0491195
15,2,in,numbers,1,959.0978675
16,2,in,numbers,1,667.19362
17,2,in,numbers,1,1017.51389
18,2,in,numbers,1,1285.271879
19,2,in,numbers,1,1257.142015
20,2,in,numbers,1,1050.566047
21,2,in,numbers,1,1150.972698
22,2,in,numbers,1,1484.46919
23,2,in,numbers,1,820.3072825
24,2,in,numbers,1,1038.986202
25,2,in,numbers,1,1050.85073
26,2,in,numbers,1,1267.904201
27,2,in,numbers,1,667.17755
28,2,in,numbers,1,868.119429
29,2,in,numbers,1,934.089949
30,2,in,numbers,1,1717.998547
31,2,in,numbers,1,1242.168135
32,2,in,numbers,1,734.0113165
1,2,mixed,numbers,1,989.174459
2,2,mixed,numbers,1,1333.75496
3,2,mixed,numbers,1,1050.89345
4,2,mixed,numbers,1,1288.139068
5,2,mixed,numbers,1,1376.082244
6,2,mixed,numbers,1,817.24115
7,2,mixed,numbers,1,1259.312328
8,2,mixed,numbers,1,1050.905363
9,2,mixed,numbers,1,975.7729365
10,2,mixed,numbers,1,1736.03296
11,2,mixed,numbers,1,850.751872
12,2,mixed,numbers,1,1050.991772
13,2,mixed,numbers,1,1059.23175
14,2,mixed,numbers,1,959.046852
15,2,mixed,numbers,1,800.762504
16,2,mixed,numbers,1,717.26666
17,2,mixed,numbers,1,1175.89999
18,2,mixed,numbers,1,1423.556881
19,2,mixed,numbers,1,1789.051975
20,2,mixed,numbers,1,1148.24779
21,2,mixed,numbers,1,1517.909889
22,2,mixed,numbers,1,1501.38533
23,2,mixed,numbers,1,855.673092
24,2,mixed,numbers,1,1097.756316
25,2,mixed,numbers,1,1426.14451
26,2,mixed,numbers,1,1259.277204
27,2,mixed,numbers,1,692.23949
28,2,mixed,numbers,1,776.39754
29,2,mixed,numbers,1,1050.948733
30,2,mixed,numbers,1,1634.618148
31,2,mixed,numbers,1,1318.65437
32,2,mixed,numbers,1,809.0308415
1,3,in,numbers,1,898.978336
2,3,in,numbers,1,1132.95362
3,3,in,numbers,1,909.08035
4,3,in,numbers,1,982.802146
5,3,in,numbers,1,1334.373643
6,3,in,numbers,1,633.91072
7,3,in,numbers,1,1142.606552
8,3,in,numbers,1,1025.809321
9,3,in,numbers,1,859.112499
10,3,in,numbers,1,1361.78363
11,3,in,numbers,1,809.02571
12,3,in,numbers,1,1067.542532
13,3,in,numbers,1,1125.98605
14,3,in,numbers,1,909.130396
15,3,in,numbers,1,967.3883395
16,3,in,numbers,1,717.27395
17,3,in,numbers,1,1067.48465
18,3,in,numbers,1,1388.244086
19,3,in,numbers,1,1456.704216
20,3,in,numbers,1,916.398807
21,3,in,numbers,1,1184.377696
22,3,in,numbers,1,1434.41185
23,3,in,numbers,1,726.6414515
24,3,in,numbers,1,983.9799065
25,3,in,numbers,1,984.12992
26,3,in,numbers,1,1125.792564
27,3,in,numbers,1,667.20354
28,3,in,numbers,1,850.194328
29,3,in,numbers,1,859.1467925
30,3,in,numbers,1,1392.642306
31,3,in,numbers,1,1263.025978
32,3,in,numbers,1,700.668625
1,3,mixed,numbers,1,854.248957
2,3,mixed,numbers,1,1261.56115
3,3,mixed,numbers,1,1017.49237
4,3,mixed,numbers,1,889.387309
5,3,mixed,numbers,1,1200.76833
6,3,mixed,numbers,1,733.94694
7,3,mixed,numbers,1,1209.308289
8,3,mixed,numbers,1,917.4544355
9,3,mixed,numbers,1,850.652883
10,3,mixed,numbers,1,1459.09779
11,3,mixed,numbers,1,817.248944
12,3,mixed,numbers,1,1167.615499
13,3,mixed,numbers,1,967.47312
14,3,mixed,numbers,1,800.551359
15,3,mixed,numbers,1,783.85745
16,3,mixed,numbers,1,608.87981
17,3,mixed,numbers,1,1000.9591
18,3,mixed,numbers,1,1372.353999
19,3,mixed,numbers,1,1463.892646
20,3,mixed,numbers,1,977.4278715
21,3,mixed,numbers,1,1276.046774
22,3,mixed,numbers,1,1417.68822
23,3,mixed,numbers,1,851.002086
24,3,mixed,numbers,1,1048.639482
25,3,mixed,numbers,1,1067.51968
26,3,mixed,numbers,1,1075.979879
27,3,mixed,numbers,1,750.59161
28,3,mixed,numbers,1,758.188889
29,3,mixed,numbers,1,1075.866993
30,3,mixed,numbers,1,1367.779416
31,3,mixed,numbers,1,1184.456994
32,3,mixed,numbers,1,784.007228
1,1,in,dots,1,1093.48303
2,1,in,dots,1,1241.1466
3,1,in,dots,1,1084.1931
4,1,in,dots,1,872.3819355
5,1,in,dots,1,784.022319
6,1,in,dots,1,1117.5976
7,1,in,dots,1,1484.47973
8,1,in,dots,1,1417.705879
9,1,in,dots,1,1034.205621
10,1,in,dots,1,1396.3307
11,1,in,dots,1,1251.012489
12,1,in,dots,1,984.103589
13,1,in,dots,1,917.4115
14,1,in,dots,1,1151.130081
15,1,in,dots,1,1109.309946
16,1,in,dots,1,967.4617
17,1,in,dots,1,1134.2211
18,1,in,dots,1,1271.056482
19,1,in,dots,1,1410.699406
20,1,in,dots,1,829.782161
21,1,in,dots,1,1301.036958
22,1,in,dots,1,533.821
23,1,in,dots,1,1078.026079
24,1,in,dots,1,1276.49653
25,1,in,dots,1,1200.9553
26,1,in,dots,1,1526.225959
27,1,in,dots,1,834.0141
28,1,in,dots,1,1119.554563
29,1,in,dots,1,967.417257
30,1,in,dots,1,1367.702775
31,1,in,dots,1,1255.076865
32,1,in,dots,1,1317.677015
1,1,mixed,dots,1,1192.152913
2,1,mixed,dots,1,1125.6314
3,1,mixed,dots,1,1209.305
4,1,mixed,dots,1,1420.240937
5,1,mixed,dots,1,934.098662
6,1,mixed,dots,1,1309.4363
7,1,mixed,dots,1,1734.644103
8,1,mixed,dots,1,1317.588881
9,1,mixed,dots,1,1151.041358
10,1,mixed,dots,1,1388.73
11,1,mixed,dots,1,1234.301829
12,1,mixed,dots,1,1117.613777
13,1,mixed,dots,1,834.0317
14,1,mixed,dots,1,1225.936812
15,1,mixed,dots,1,1267.632399
16,1,mixed,dots,1,984.1571
17,1,mixed,dots,1,1234.3381
18,1,mixed,dots,1,1179.918855
19,1,mixed,dots,1,1664.580692
20,1,mixed,dots,1,887.623968
21,1,mixed,dots,1,1234.393819
22,1,mixed,dots,1,617.2644
23,1,mixed,dots,1,1138.347959
24,1,mixed,dots,1,1431.556148
25,1,mixed,dots,1,1117.5652
26,1,mixed,dots,1,1367.696095
27,1,mixed,dots,1,1000.8833
28,1,mixed,dots,1,1081.380078
29,1,mixed,dots,1,1083.908062
30,1,mixed,dots,1,1284.33297
31,1,mixed,dots,1,1295.161195
32,1,mixed,dots,1,1584.642349
1,2,in,dots,1,1046.945654
2,2,in,dots,1,1042.3054
3,2,in,dots,1,867.4746
4,2,in,dots,1,1169.357287
5,2,in,dots,1,783.925649
6,2,in,dots,1,1034.1796
7,2,in,dots,1,1717.996892
8,2,in,dots,1,1100.823491
9,2,in,dots,1,1034.20231
10,2,in,dots,1,1307.7664
11,2,in,dots,1,1184.179118
12,2,in,dots,1,1084.137821
13,2,in,dots,1,817.4031
14,2,in,dots,1,1167.658268
15,2,in,dots,1,1059.221321
16,2,in,dots,1,1009.1469
17,2,in,dots,1,1017.4425
18,2,in,dots,1,1061.233864
19,2,in,dots,1,1245.07228
20,2,in,dots,1,757.269602
21,2,in,dots,1,1150.762473
22,2,in,dots,1,483.8989
23,2,in,dots,1,981.601728
24,2,in,dots,1,1367.01734
25,2,in,dots,1,1259.3345
26,2,in,dots,1,1142.649945
27,2,in,dots,1,767.3268
28,2,in,dots,1,969.5025165
29,2,in,dots,1,1000.823855
30,2,in,dots,1,1676.282359
31,2,in,dots,1,1327.91565
32,2,in,dots,1,1175.964989
1,2,mixed,dots,1,1101.247142
2,2,mixed,dots,1,1214.681
3,2,mixed,dots,1,1025.8948
4,2,mixed,dots,1,1252.36322
5,2,mixed,dots,1,825.743997
6,2,mixed,dots,1,1184.3781
7,2,mixed,dots,1,1851.381827
8,2,mixed,dots,1,1217.693365
9,2,mixed,dots,1,1167.852166
10,2,mixed,dots,1,1182.4543
11,2,mixed,dots,1,1184.233083
12,2,mixed,dots,1,1050.869774
13,2,mixed,dots,1,867.3959
14,2,mixed,dots,1,1167.619367
15,2,mixed,dots,1,1125.8942
16,2,mixed,dots,1,850.7176
17,2,mixed,dots,1,1084.1787
18,2,mixed,dots,1,1174.94164
19,2,mixed,dots,1,1403.264821
20,2,mixed,dots,1,865.061299
21,2,mixed,dots,1,1134.436063
22,2,mixed,dots,1,642.2207
23,2,mixed,dots,1,1142.571046
24,2,mixed,dots,1,1451.093245
25,2,mixed,dots,1,1592.8753
26,2,mixed,dots,1,1150.866093
27,2,mixed,dots,1,1017.4314
28,2,mixed,dots,1,1049.721992
29,2,mixed,dots,1,950.7759495
30,2,mixed,dots,1,1517.849966
31,2,mixed,dots,1,1025.840777
32,2,mixed,dots,1,1392.867039
1,3,in,dots,1,1007.129916
2,3,in,dots,1,1065.1173
3,3,in,dots,1,792.2601
4,3,in,dots,1,874.79927
5,3,in,dots,1,734.143422
6,3,in,dots,1,959.0752
7,3,in,dots,1,1301.05616
8,3,in,dots,1,1075.921453
9,3,in,dots,1,1050.781867
10,3,in,dots,1,1638.4632
11,3,in,dots,1,1184.246987
12,3,in,dots,1,1117.653671
13,3,in,dots,1,934.1091
14,3,in,dots,1,875.7242505
15,3,in,dots,1,1042.439091
16,3,in,dots,1,850.7141
17,3,in,dots,1,900.6954
18,3,in,dots,1,1101.724713
19,3,in,dots,1,1309.385611
20,3,in,dots,1,718.780549
21,3,in,dots,1,1084.287845
22,3,in,dots,1,500.4532
23,3,in,dots,1,952.7305385
24,3,in,dots,1,1279.570938
25,3,in,dots,1,1317.7124
26,3,in,dots,1,1217.643257
27,3,in,dots,1,767.302
28,3,in,dots,1,777.2173965
29,3,in,dots,1,884.073661
30,3,in,dots,1,1342.622376
31,3,in,dots,1,1186.832313
32,3,in,dots,1,967.3916175
1,3,mixed,dots,1,1034.391089
2,3,mixed,dots,1,1032.0785
3,3,mixed,dots,1,1017.4346
4,3,mixed,dots,1,1081.392617
5,3,mixed,dots,1,800.8085215
6,3,mixed,dots,1,959.2904
7,3,mixed,dots,1,1567.910451
8,3,mixed,dots,1,1067.51853
9,3,mixed,dots,1,975.7888275
10,3,mixed,dots,1,1450.1966
11,3,mixed,dots,1,1167.613466
12,3,mixed,dots,1,1075.984687
13,3,mixed,dots,1,884.2006
14,3,mixed,dots,1,1117.664508
15,3,mixed,dots,1,1142.556751
16,3,mixed,dots,1,800.6371
17,3,mixed,dots,1,1067.5679
18,3,mixed,dots,1,1104.665374
19,3,mixed,dots,1,1350.940933
20,3,mixed,dots,1,813.900653
21,3,mixed,dots,1,1159.323617
22,3,mixed,dots,1,617.1465
23,3,mixed,dots,1,1122.798574
24,3,mixed,dots,1,1079.817137
25,3,mixed,dots,1,1209.2931
26,3,mixed,dots,1,1200.995108
27,3,mixed,dots,1,1000.8531
